127.0.0.1 - - [23/Dec/2019:19:07:17 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:20 +0900] "GET /templateEC/ HTTP/1.1" 200 670
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:20 +0900] "GET /templateEC/css/style.css HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:22 +0900] "POST /templateEC/HomeAction.action;jsessionid=6B074138840C2DFA8473A6CA8B118038 HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:32 +0900] "POST /templateEC/LoginAction.action HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:34 +0900] "POST /templateEC/HomeAction.action HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:37 +0900] "GET /templateEC/UserCreateAction.action HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:45 +0900] "POST /templateEC/UserCreateConfirmAction.action HTTP/1.1" 200 1215
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:47 +0900] "POST /templateEC/UserCreateCompleteAction.action HTTP/1.1" 200 513
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:48 +0900] "GET /templateEC/HomeAction.action HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:54 +0900] "POST /templateEC/LoginAction.action HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:07:58 +0900] "POST /templateEC/BuyItemAction.action HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:08:00 +0900] "POST /templateEC/BuyItemConfirmAction.action HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:08:01 +0900] "GET /templateEC/MyPageAction.action HTTP/1.1" 200 26680
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:18:34 +0900] "GET /templateEC/ HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:18:35 +0900] "POST /templateEC/HomeAction.action HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:18:40 +0900] "POST /templateEC/LoginAction.action HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:18:43 +0900] "POST /templateEC/BuyItemAction.action HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:18:44 +0900] "POST /templateEC/BuyItemConfirmAction.action HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:18:45 +0900] "GET /templateEC/MyPageAction.action HTTP/1.1" 200 17949
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:40:13 +0900] "GET /templateEC/MyPageAction.action HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:40:25 +0900] "POST /templateEC/MyPageAction.action HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:40:33 +0900] "GET /templateEC/HomeAction.action HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:40:46 +0900] "POST /templateEC/LoginAction.action HTTP/1.1" 200 1723
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:40:48 +0900] "POST /templateEC/BuyItemAction.action HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:40:49 +0900] "POST /templateEC/BuyItemConfirmAction.action HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:42:16 +0900] "GET /templateEC/MyPageAction.action HTTP/1.1" 200 1375
0:0:0:0:0:0:0:1 - - [23/Dec/2019:19:42:17 +0900] "POST /templateEC/MyPageAction.action HTTP/1.1" 200 602
